,f1,f2,f3,f4,o
41,5.6,3.086282946,4.5,1.5,Iris-versicolor
42,6.3,2.5,4.9,1.360301182,Iris-versicolor
43,7.285623752,3,4.4,1.4,Iris-versicolor
44,6.3,2.3,4.4,1.3,Iris-versicolor
45,5.5,2.6,4.4,0.40562715,Iris-versicolor
46,5,2.3,3.3,1,Iris-versicolor
47,7.1,2.780571398,5.9,2.1,Iris-virginica
48,6.8,3,5.5,2.1,Iris-virginica
49,5.8,2.8,2.26501614,1.613997105,Iris-virginica
50,6.606337391,2.7,3.999343796,1.8,Iris-virginica
51,6.1,3,5.649316849,1.8,Iris-virginica
52,7.094554906,2.8,5.6,2.1,Iris-virginica
53,6.4,3.530537329,4.834672701,2.2,Iris-virginica
54,7.7,3,6.1,2.3,Iris-virginica
55,6.4,3.1,4.595698621,1.8,Iris-virginica
56,5.710792894,3,4.8,1.8,Iris-virginica
57,5.8,4,1.2,1.415721258,Iris-setosa
58,6.6,2.9,4.6,1.3,Iris-versicolor
59,6.8,2.8,4.8,1.4,Iris-versicolor
60,4.9,3,1.4,0.2,Iris-setosa
61,5.4,3.9,1.7,0.389410424,Iris-setosa
62,4.3,3,1.1,1.18273892,Iris-setosa
63,5.7,4.4,1.5,0.4,Iris-setosa
64,5.1,2.269848103,1.7,0.5,Iris-setosa
65,5,2.638946605,4.703326253,0.2,Iris-setosa
66,5.2,4.1,1.5,0.1,Iris-setosa
67,5,3.2,1.2,0.2,Iris-setosa
68,4.993490574,3.5,1.3,0.2,Iris-setosa
69,5.835317558,3.5,3.231465902,0.3,Iris-setosa
70,6.9,3.1,1.047473017,1.5,Iris-versicolor
71,5.8,2.7,4.1,1,Iris-versicolor
72,6.2,2.2,4.5,1.5,Iris-versicolor
73,6.7,3,5,1.7,Iris-versicolor
74,5.8,2.7,3.9,0.258106495,Iris-versicolor
75,6.35822685,2.7,5.1,1.6,Iris-versicolor
76,5.6,2.7,4.128138966,1.3,Iris-versicolor
77,5.7,2.9,4.2,1.3,Iris-versicolor
78,6.3,3.3,1.115694609,2.5,Iris-virginica
79,5.8,2.105125923,5.1,1.916142832,Iris-virginica
80,6.4,2.7,5.3,1.549624214,Iris-virginica
81,6.4,3.2,5.3,2.3,Iris-virginica
82,7.7,3.8,6.7,2.2,Iris-virginica
83,5.439067182,3.807678165,4.9,2,Iris-virginica
84,6.1,2.6,5.6,1.4,Iris-virginica
85,6.523898192,4.248934601,5.098941541,2.3,Iris-virginica
86,6,3.313132068,4.5,1.5,Iris-versicolor
87,6,3.4,4.5,1.6,Iris-versicolor
88,6.5,3,5.5,1.8,Iris-virginica
89,6.251739341,2.8,4.8,0.370454008,Iris-virginica
90,5,3.6,6.385604067,0.2,Iris-setosa
91,5.687717452,3.4,1.6,0.2,Iris-setosa
92,5.4,3.9,1.3,0.4,Iris-setosa
93,5.1,3.5,1.4,0.3,Iris-setosa
94,4.8,3.4,1.9,0.2,Iris-setosa
95,5.2,3.5,1.5,0.2,Iris-setosa
96,5.2,3.4,1.4,0.2,Iris-setosa
97,5.51315423,2.3,1.3,0.3,Iris-setosa
98,5.1,3.8,1.9,0.4,Iris-setosa
99,6.1,2.9,5.06562977,1.4,Iris-versicolor
100,5.6,2.613043113,3.6,1.3,Iris-versicolor
101,6.7,3.1,4.4,1.4,Iris-versicolor
102,7.114635736,2.5,3.9,1.923120951,Iris-versicolor
103,7.487918276,3.2,6.054322184,1.8,Iris-versicolor
104,5.4,3,6.018331304,1.5,Iris-versicolor
105,6.1,3,4.6,1.241744215,Iris-versicolor
106,5.8,4.365885734,4,2.096288825,Iris-versicolor
107,7.656446364,3,4.2,1.2,Iris-versicolor
108,6.2,2.347761843,4.3,1.3,Iris-versicolor
109,7.6,3,6.6,2.123274714,Iris-virginica
110,5.619077776,2.5,4.776150484,1.7,Iris-virginica
111,6.7,3.467183297,1.23660029,1.8,Iris-virginica
112,7.7,4.0310648,6.7,2.024586232,Iris-virginica
113,6.3,3.4,5.6,2.4,Iris-virginica
114,6.9,3.1,5.4,2.1,Iris-virginica
115,6.7,3.1,5.6,2.4,Iris-virginica
116,6.8,2.638819869,5.9,2.3,Iris-virginica
117,6.7,3.3,5.7,1.845413057,Iris-virginica
118,4.4,3.2,1.3,0.2,Iris-setosa
119,6,2.2,5,1.5,Iris-virginica
120,4.6,3.4,1.4,0.487050706,Iris-setosa
121,5.4,4.143075584,1.5,0.2,Iris-setosa
122,5.7,3.8,1.7,0.3,Iris-setosa
123,5.1,4.219546057,1.5,0.3,Iris-setosa
124,4.9,2.975296879,2.565350768,0.1,Iris-setosa
125,4.9,3.1,2.422730751,0.1,Iris-setosa
126,4.4,3,2.28483868,0.2,Iris-setosa
127,5.1,3.8,1.6,0.2,Iris-setosa
128,5.417992252,2.8,4.5,1.3,Iris-versicolor
129,5.2,2.7,3.9,1.4,Iris-versicolor
130,5,2,3.5,1,Iris-versicolor
131,5.9,3,4.2,0.153815676,Iris-versicolor
132,5.5,2.004849136,3.8,1.1,Iris-versicolor
133,5.6,3,4.1,1.3,Iris-versicolor
134,5.5,2.5,4,1.3,Iris-versicolor
135,5.1,2.5,3,1.1,Iris-versicolor
136,7.245328207,2.8,4.01244466,1.3,Iris-versicolor
137,6.3,2.9,3.045480814,1.8,Iris-virginica
138,6.6704932,3.6,6.1,2.5,Iris-virginica
139,4.716314082,2.5,5,1.971783349,Iris-virginica
140,7.2,3,5.8,1.6,Iris-virginica
141,7.4,2.8,6.1,1.9,Iris-virginica
142,7.9,3.8,6.4,2,Iris-virginica
143,5.8,2.7,5.1,1.606085766,Iris-virginica
144,5.658751924,3,5.2,2.3,Iris-virginica
145,6.3,2.052517368,5,1.9,Iris-virginica
146,4.9,3.271224335,1.5,0.1,Iris-setosa
147,6.927712356,3.5,3.399278945,2.000858752,Iris-setosa
148,6.5,2.8,4.6,1.5,Iris-versicolor
149,7.7,2.6,6.9,0.414092245,Iris-virginica
